name,medical_insurance,infectivity,therapy,cure_rate,treatment_cycle,throng,cost,online_to_buy_medicine
气压创伤性中耳炎,否,无传染性,药物治疗,60%,1个月,所有人群,不同医院收费标准不一致，市三甲医院约5000--8000,健客大药房康德乐大药房阿康大药房
间歇性外斜视,是,无传染性,矫正治疗、手术治疗,65%,4-8月,儿童,不同医院收费标准不一致，市三甲医院约(10000--20000元),健客大药房康德乐大药房阿康大药房
春季结膜炎,是,无传染性,西药治疗、中药治疗,90%--95%,7--10天,好发于儿童,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
早产儿视网膜病变,否,无传染性,药物治疗,本病无法根治,5-10年甚至更久,早产儿多见,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
急性额窦炎,是,无传染性,药物治疗,100%,Null,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
球后视神经炎,是,无传染性,药物治疗、手术治疗,60%,7-10天,所有人群,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
视网膜静脉阻塞,是,无传染性,药物治疗,75%,2-4月,中老年患者，单眼发病，左右...,不同医院收费标准不一致，市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
黄斑囊样水肿,否,无传染性,药物治疗,70%,3-6个月,患有视网膜静脉阻塞、糖尿病...,市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
真菌性角膜炎,是,无传染性,药物治疗、局部治疗,治愈率93%,治疗周期30天,多见于青壮年、老年及农民,不同医院收费标准不一致，市三甲医院约1000--3000元,健客大药房康德乐大药房阿康大药房
上颌窦炎,是,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
圆锥角膜,否,无传染性,药物治疗、手术治疗,40%,2个月,多于青春期发病,不同医院收费标准不一致，市三甲医院约8000--15000,健客大药房康德乐大药房阿康大药房
成人类风湿性关节炎性巩膜炎,否,无传染性,药物治疗,85%,3-6月,好发于60岁以上患者，女性多...,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
缺血性视神经病变,是,无传染性,药物治疗,80%,2-4月,多见于老年人，超过60岁，女...,不同医院收费标准不一致，市三甲医院约10000--30000,健客大药房康德乐大药房阿康大药房
口腔白斑病,否,无传染性,药物治疗,对症治疗为主，治愈率约为25%-35%,1-2年,中老年男性,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
唇裂,是,无传染性,手术治疗,60%,10-30天,新生儿,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
先天性白内障,是,无传染性,Null,Null,Null,新生儿,Null,健客大药房康德乐大药房阿康大药房
咽部异物,是,无传染性,药物、手术治疗,90%,2-4周,儿童多见,不同医院收费标准不一致，市三甲医院约（3000——7000元）,健客大药房康德乐大药房阿康大药房
慢性单纯性鼻炎,是,无传染性,中药治疗、西药治疗、手术治...,80%,10天,反复急性鼻炎发作史者多见,不同医院收费标准不一致，市三甲医院约（2000——5000元,健客大药房康德乐大药房阿康大药房
牙隐裂,否,无传染性,全冠修复,85%,2-4周,中老年人,不同医院收费标准不一致，市三甲医院约（300-2000元）,健客大药房康德乐大药房阿康大药房
干燥性鼻炎,否,无传染性,Null,Null,Null,是一种常见的职业性慢性鼻炎...,Null,健客大药房康德乐大药房阿康大药房
上睑下垂,是,无传染性,药物治疗,60%,6个月,肌无力症患者多见,不同医院收费标准不一致，市三甲医院约（3000——5000元,健客大药房康德乐大药房阿康大药房
中心性浆液性脉络膜视网膜病变,是,无传染性,手术治疗药物治疗支持性治,55%,1-3个月,男性比女性更容易患病，约占...,市三甲医院约（1000——8000元）,健客大药房康德乐大药房阿康大药房
病毒性喉炎,否,无传染性,Null,Null,Null,劳累过度，过敏素质易患此病,Null,健客大药房康德乐大药房阿康大药房
慢性额窦炎,是,无传染性,置换术、理疗、手术治疗,60%,1-3个月,急性额窦炎发病30天后仍有炎...,不同医院收费标准不一致，市三甲医院约（2000——3000元）,健客大药房康德乐大药房阿康大药房
常年性鼻炎,否,无传染性,中医药物治疗、西医药物治疗,40%,3个月,可发生于任何年龄，男女均有...,不同医院收费标准不一致，市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
口腔单纯性疱疹,否,无传染性,手术治疗,98%,1-2周,本病以6岁以下儿童较多见，...,不同医院收费标准不一致，市三甲医院约（300-500元）,健客大药房康德乐大药房阿康大药房
慢性鼻窦炎,是,无传染性,药物治疗,90%,10天,所有人群均易发生、低龄、年...,不同医院收费标准不一致，市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
鼻前庭炎,是,无传染性,药物治疗,本病经过治疗后一般能够95%进行有效治愈。,一般在2-3周,所有人群,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
慢性化脓性中耳炎,是,无传染性,药物治疗、手术治疗,50%--70%,2--3周,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
颌下腺炎,是,无传染性,Null,Null,Null,成年人发病率高,Null,健客大药房康德乐大药房阿康大药房
牙齿感觉过敏症,否,无传染性,康复治疗支持性治疗,98%,2-4周,发病的高峰年龄在40岁左右。,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
春季卡他性结膜炎,是,无传染性,药物治疗,98%,Null,男性儿童及青年,市三甲医院约500-1000元,健客大药房康德乐大药房阿康大药房
急性鼻窦炎,是,无传染性,药物治疗支持性治疗,80%,120天,低龄、年老体弱者更多见,市三甲医院约（300——1000元）,健客大药房康德乐大药房阿康大药房
血管运动性鼻炎,否,无传染性,药物治疗,治愈率84%,治疗周期15天,内分泌因素常见于青春期、月...,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
咽峡炎,是,无传染性,药物治疗,90%,Null,多见于3～10岁儿童,市三甲医院约（100——300元）,健客大药房康德乐大药房阿康大药房
空鼻症,是,无传染性,Null,Null,Null,鼻甲切除性手术者多见,Null,健客大药房康德乐大药房阿康大药房
边缘性龈炎,是,无传染性,药物治疗、定期口腔检查,96%,1-3月,每个人在其一生中都在不同程...,不同医院收费标准不一致，市三甲医院约（200——1000元）,健客大药房康德乐大药房阿康大药房
慢性蝶窦炎,是,无传染性,药物治疗、手术治疗,经过系统治疗后95%可以治愈,3-6月,所有人群,不同医院收费标准不一致，市三甲医院约(20000-50000元),健客大药房康德乐大药房阿康大药房
甲状舌管囊肿,是,无传染性,药物治疗,50%,3--6周,以30岁以下青少年为多见,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
慢性肥厚性鼻炎,是,无传染性,药物治疗、冷冻治疗、手术治...,80%,20-30天,青壮年男性，慢性单纯性鼻炎...,不同医院收费标准不一致，市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
白血病性咽峡炎,是,无传染性,药物治疗、支持疗法、心理治...,10%,15天,有白血病者,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
舌白斑,是,无传染性,药物治疗、物理治疗、手术治...,85%,1-3月,一般好发于40岁以上者,不同医院收费标准不一致，市三甲医院约(5000--10000元),健客大药房康德乐大药房阿康大药房
牙周萎缩,否,无传染性,牙周外科手术、牙跟按摩,20%,10天,中老年人,不同医院收费标准不一致，市三甲医院约（600——1200元）,健客大药房康德乐大药房阿康大药房
颞下颌关节脱位,是,无传染性,西医药物治疗,90%,1-3天,好发于女性,不同医院收费标准不一致，市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
小儿过敏性鼻炎,否,无传染性,物理治疗药物治疗支持治疗,75%,1-3月,2～6岁的学龄前儿童多发,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
眼睑丹毒,否,无传染性,中医药物治疗,40--50%,10--21天,无特发人群,市三甲医院约（300——1000元）,健客大药房康德乐大药房阿康大药房
麻痹性斜视,是,无传染性,支持疗法、理疗、手术治疗,60%,一个月,儿童、成人,不同医院收费标准不一致，市三甲医院约（6000——10000元）,健客大药房康德乐大药房阿康大药房
创伤性溃疡,是,无传染性,药物治疗,98%,Null,无特殊发病群体,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
视网膜动脉阻塞,是,无传染性,药物治疗,60%,3个月,中老年人群,不同医院收费标准不一致，市三甲医院约10000--60000,健客大药房康德乐大药房阿康大药房
大疱性鼓膜炎,是,无传染性,药物治疗,60%,10天,儿童和青年,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
颞下颌关节炎,否,无传染性,Null,Null,Null,老年人群,Null,健客大药房康德乐大药房阿康大药房
强直性脊柱炎性巩膜炎,否,无传染性,药物治疗,20%,1-2个月,所有人群,市三甲医院约（2000——10000元）,健客大药房康德乐大药房阿康大药房
声带小结,否,无传染性,药物治疗,93%,14天,多见于教师及歌唱演员，以女...,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
鼻腔异物,是,无传染性,取出异物、药物治疗,100%,2周,小儿多见,不同医院收费标准不一致，市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
脉络膜血管瘤,是,无传染性,激光、手术治疗,手术治愈率约为60-70%,3-6个月,一般发生于10-20岁之间,市三甲医院约（30000——50000元）,健客大药房康德乐大药房阿康大药房
慢性进行性眼外肌麻痹,否,无传染性,药物治疗、手术治疗,55%-65%,3-6个月,30岁左右,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
远视,是,无传染性,手术治疗、药物治疗,60%,21天,50岁以上老年人,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
剥脱性唇炎,是,无传染性,中医药物治疗、西医药物治疗,70%,4-8周,20岁～35岁之间女性。,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
不动纤毛综合征,否,无传染性,药物治疗,50%,1个月,所有人群,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
咽肌麻痹,否,无传染性,病因治疗、对症治疗,95%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
耳内脑膜脑疝,是,无传染性,手术治疗、药物治疗,65%,Null,所有人群,市三甲医院约30000-50000元,健客大药房康德乐大药房阿康大药房
视神经乳头水肿及视盘水肿,否,无传染性,病因治疗、药物治疗,20%,1-3个月,颅内压力增高患者,市三甲医院约10000--50000,健客大药房康德乐大药房阿康大药房
扁桃体周围脓肿,是,无传染性,药物治疗、手术治疗,98%,3-6周,此病多见于青壮年，10岁以下...,不同医院收费标准不一致，市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
干燥性角结膜炎,是,无传染性,药物治疗,50-60%,Null,内分泌疾病、贫血、维生素缺...,市三甲医院约（300——2000元）,健客大药房康德乐大药房阿康大药房
脉络膜炎,是,无传染性,药物治疗,40%,10-30天,所有人群,不同医院收费标准不一致，市三甲医院约（2000——10000元）,健客大药房康德乐大药房阿康大药房
外耳道异物,是,无传染性,药物、手术治疗,80%,1-3天,常见于儿童,不同医院收费标准不一致，市三甲医院约（3000——6000元）,健客大药房康德乐大药房阿康大药房
原发性非调节性内斜视,否,无传染性,康复治疗支持性治疗,55-75%,8-12周,婴幼儿,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
复发性多发性软骨炎伴发的葡萄膜炎,否,无传染性,药物治疗,30%,3-6个月,多见于40-59岁成年人,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
口腔粘膜病,否,无传染性,中药治疗、西药治疗,98%治愈,2-4周,多发生于幼儿及青少年,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
遗传性乳光牙,否,无传染性,中医药物治疗、西医药物治疗,50%,1个月,所有人群,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
氟斑牙,是,无传染性,药物治疗,100%,Null,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
喉炎,是,无传染性,药物治疗,60%,1-2个月,小儿,市三甲医院约（100-300元）,健客大药房康德乐大药房阿康大药房
玻璃体混浊,是,无传染性,狄奥宁眼药水、维生素C、他...,85%,3周,老年人、高度近视者,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
牙周病,是,无传染性,药物治疗、手术治疗,85%,1-2个月,所有人群,市三甲医院约（100-500元）,健客大药房康德乐大药房阿康大药房
小儿亚急性甲状腺炎,否,无传染性,药物治疗,95%,2-4月,儿童,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
视网膜色素变性,是,无传染性,西药治疗、中药治疗,40%,1-2个月,男性患者及近亲通婚的子女多...,市三甲医院约（20000--50000）,健客大药房康德乐大药房阿康大药房
鹅口疮,是,无传染性,药物治疗,99%,7天,婴幼儿，刚出生的小宝宝,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
小儿炎症性肠病,否,无传染性,药物治疗,70-80%，小部分发展成为慢性肠炎,3-6个月,所有人群,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
先天性肠旋转不良,是,无传染性,手术治疗,85%,2-4周,新生儿,市三甲医院约3000-5000元,健客大药房康德乐大药房阿康大药房
小儿慢性粒细胞白血病,否,无传染性,药物治疗,骨髓移植治愈率约为75%,1-3年,儿童人群,市三甲医院约50000--100000,健客大药房康德乐大药房阿康大药房
小儿家族性低血磷性佝偻病,否,无传染性,对症治疗药物治疗,50-70%,3-6月,婴幼儿,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
糖原贮积病,是,无传染性,药物治疗、对症治疗、支持治...,20%,1-3年,遗传疾病,不同医院收费标准不一致，市三甲医院约5000--10000,健客大药房康德乐大药房阿康大药房
小儿叶酸缺乏病,否,无传染性,药物治疗,90%,4-6月,儿童,市三甲医院约（1000——2000元）,健客大药房康德乐大药房阿康大药房
视网膜病变,是,无传染性,中医药物治疗、西医药物治疗...,60%,10-30天,老年患者常见,不同医院收费标准不一致，市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
小儿狼疮肾炎,否,无传染性,药物治疗,20%,1-3个月,婴幼儿,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
急性咽炎,是,无传染性,药物治疗,治愈率84%,治疗周期15天,所有人群，抽烟男性,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
地图舌,是,无传染性,中医药物治疗、西医药物治疗,87%,Null,体质瘦弱的儿童青年女性,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
弱视,是,无传染性,药物治疗、手术治疗,Null,>120天(终身间断治疗),儿童,市三甲医院约（3000——5000元,健客大药房康德乐大药房阿康大药房
视网膜脱落,是,无传染性,中医药物治疗,10%,7-14天,成年人,市三甲医院约（4000-6000元）,健客大药房康德乐大药房阿康大药房
新生儿低钠血症,否,无传染性,药物治疗、对症治疗,40%,1-3个月,新生儿,不同医院收费标准不一致，市三甲医院约（800——1000元）,健客大药房康德乐大药房阿康大药房
散光,是,无传染性,光学矫正、手术治疗,Null,>120天(终身佩戴眼镜),所有人群，青少年,市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
牙周炎,是,无传染性,药物治疗,80-90%,Null,35岁以后较为多见,市三甲医院约（200——800元）,健客大药房康德乐大药房阿康大药房
慢性扁桃体炎,是,无传染性,药物、手术治疗,98%。,1周,儿童、成年均可发生,不同医院收费标准不一致，市三甲医院约（4000——8000元）,健客大药房康德乐大药房阿康大药房
耳聋,是,无传染性,药物治疗、手术治疗,20--30%,1--6个月,所有人群，中老年人为多,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
小儿急性喉炎,否,无传染性,药物治疗,99%,7天,婴幼儿,不同医院收费标准不一致，市三甲医院约（100-300元）,健客大药房康德乐大药房阿康大药房
扁桃体炎,是,无传染性,药物治疗,一般经过治疗后100%可以痊愈,2-3周,儿童，青少年,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
眩晕,是,无传染性,Null,Null,Null,所有人群,Null,健客大药房康德乐大药房阿康大药房
小儿库欣综合征,否,无传染性,手术治疗、药物治疗、对症治...,60%(多以控制症状为主),3-6个月,小儿,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
小儿良性先天性肌弛缓综合征,否,无传染性,Null,Null,Null,婴儿,Null,健客大药房康德乐大药房阿康大药房
小儿X-连锁高免疫球蛋白M血症,否,无传染性,药物治疗支持性治疗,无法根治，主要以对症治疗为主,终身治疗,儿童,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
疱疹性咽峡炎,是,无传染性,药物治疗,90%,2-4周,所有人群，多见于3～10岁儿童,不同医院收费标准不一致，市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
呆小症,是,无传染性,药物治疗,45%-55%,3-6个月,儿童,市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
小儿先天性侏儒痴呆综合征,否,无传染性,药物治疗支持性治疗,无法根治,终身治疗,遗传性疾病,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
小儿肠旋转不良,否,无传染性,手术治疗,50%,3--8周,婴儿及儿童,市三甲医院约（5000——20000元）,健客大药房康德乐大药房阿康大药房
新生儿胃穿孔,否,无传染性,手术治疗、支持疗法,60%,2-4周,新生儿,市三甲医院约（1000-5000元）,健客大药房康德乐大药房阿康大药房
胎儿乙醇综合征,否,无传染性,胎儿酒精综合症是不能治愈的...,10--20%,1--3个月,母亲在妊娠期间嗜酒后出生的...,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
小儿继发性免疫性血小板减少性紫癜,否,无传染性,药物治疗,70%,2-5月,婴幼儿,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
腮腺炎,否,有传染性,西药治疗、中药治疗、针灸治...,93%,14天,儿童、青少年,市三甲医院约(5000--10000元）,健客大药房康德乐大药房阿康大药房
小儿丙酸血症,否,无传染性,预防治疗、药物治疗,30%,2-4周,儿童人群,不同医院收费标准不一致，市三甲医院约20000--60000,健客大药房康德乐大药房阿康大药房
小儿X-连锁无丙种球蛋白血症,否,无传染性,药物治疗支持性治疗,60%,1-3个月,该病仅见于男孩，病儿多于生...,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
先天性胆管囊状扩张,否,无传染性,手术治疗、药物治疗,30%,15-30天,好发年龄21～49岁,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
鼻炎,是,无传染性,药物治疗,90%(急性鼻炎治愈率90%，慢性鼻炎治愈率20-40%),1--2周(急性鼻炎1-2周，慢性需1...,所有人群,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
青光眼,是,无传染性,西医药物治疗、西医手术治疗...,60%,1-3年,所有人群,市三甲医院约500--5000元,健客大药房康德乐大药房阿康大药房
过敏性鼻炎,是,无传染性,药物治疗、免疫治疗、外科治...,>30%,>30天,青壮年,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
近视眼,否,无传染性,验光配镜,90%,6个月,儿童和青少年，尤其是常看电...,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
慢性鼻炎,是,无传染性,药物治疗、针灸疗法,50%,10-30天,所有人群,市三甲医院约（1000——3000元,健客大药房康德乐大药房阿康大药房
鼻窦炎,是,无传染性,药物治疗、手术治疗,80%,120天,所有人群,市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
口臭,是,无传染性,中医药物治疗,80%,3-6个月,所有人群,市三甲医院约（200-2000元）,健客大药房康德乐大药房阿康大药房
神经元蜡样脂褐质沉积症,否,无传染性,对症治疗,40%,1-3个月,儿童人群,市三甲医院约10000--50000,健客大药房康德乐大药房阿康大药房
小儿窦性心动过缓,否,无传染性,药物治疗,95%,1-3月,婴幼儿,市三甲医院约（3000-5000元）,健客大药房康德乐大药房阿康大药房
小儿遗传性慢性进行性肾炎,否,无传染性,Null,Null,Null,婴幼儿,Null,健客大药房康德乐大药房阿康大药房
口腔溃疡,是,无传染性,药物治疗,100%(属于症状性疾病，一般均可治愈),10-15天,所有人群,市三甲医院约（200-600元）,健客大药房康德乐大药房阿康大药房
新生儿失血性贫血,是,无传染性,药物治疗、输血治疗,80%,1-30天,新生儿,不同医院收费标准不一致，市三甲医院约（6000——12000元）,健客大药房康德乐大药房阿康大药房
小儿红白血病,否,无传染性,药物治疗、中药治疗,需要终身治疗，目前不能治愈,需要终身治疗,儿童人群,市三甲医院约10000--60000,健客大药房康德乐大药房阿康大药房
慢性咽炎,是,无传染性,药物治疗,98%,10-30天,成年人,市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
三尖瓣闭锁,是,无传染性,手术治疗,10%,1-6个月,所有人群,不同医院收费标准不一致，市三甲医院约（10000-30000元）,健客大药房康德乐大药房阿康大药房
小儿多囊肾,否,无传染性,Null,Null,Null,小儿,Null,健客大药房康德乐大药房阿康大药房
腹裂,否,无传染性,中医药物治疗、西医药物治疗...,10%,10天,低体重儿,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
鼻出血,是,无传染性,药物治疗、手术治疗,98%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
智齿冠周炎,是,无传染性,药物治疗,80%,1-2周,.多发生于年轻人，尤以18～25...,市三甲医院约（1000——3000元）,健客大药房康德乐大药房阿康大药房
联合免疫缺陷病,是,无传染性,药物治疗,40%,3个月,儿童,市三甲医院约2000-5000元,健客大药房康德乐大药房阿康大药房
咽炎,是,无传染性,药物治疗、饮食治疗,85%,7-10天,有烟酒嗜好的成年人,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
干眼症,否,无传染性,西药治疗、局部治疗,80%,10天,"所有人群,青少年占多数",市三甲医院约3000--8000元,健客大药房康德乐大药房阿康大药房
结膜炎,是,无传染性,局部治疗、全身治疗,70%,20-30天,"所有人群,青少年占多数",市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
急性扁桃体炎,是,无传染性,药物治疗,98%,7-14天,10～30岁之间的青少年,市三甲医院约（300-500元）,健客大药房康德乐大药房阿康大药房
分泌性中耳炎,是,无传染性,药物、手术治疗,90%,2-4周,儿童。所有人群,市三甲医院约（10000——50000元）,健客大药房康德乐大药房阿康大药房
龋齿,是,无传染性,药物治疗、齿科治疗,80%,3--7天,所有人群，多见于儿童、青少...,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
沙眼,是,无传染性,药物治疗,90%,4周,所有人群，少年人。男性多于...,市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
中耳炎,是,无传染性,西医药物治疗、中医药物治疗,95%,7天,所有人群,市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
咽鼓管阻塞,否,无传染性,药物治疗、手术治疗,80%,10天,所有人群,不同医院收费标准不一致，市三甲医院约(1000-5000元),健客大药房康德乐大药房阿康大药房
副鼻窦炎,是,无传染性,药物治疗支持性治疗,85%-95%,1-2个月,所有人群,市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
舌下腺囊肿,是,无传染性,药物治疗,70%,2-4周,所有人群,不同医院收费标准不一致，市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
磨牙,否,无传染性,中医药物治疗、西医药物治疗,45-65%,4-8周,小儿，过了换牙期的青少年和...,不同医院收费标准不一致，市三甲医院约（500——1000元）,健客大药房康德乐大药房阿康大药房
斜视,是,无传染性,手术治疗,80--90%,7--30天,用眼姿势不良者,市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
病毒性咽炎,是,无传染性,药物治疗,80-90%,Null,所有人群,市三甲医院约（300——500元）,健客大药房康德乐大药房阿康大药房
眶上神经痛,是,无传染性,病因治疗、对症治疗暂无,70%,1个月,所有人群,不同医院收费标准不一致，市三甲医院约（100-500元）,健客大药房康德乐大药房阿康大药房
慢性喉炎,是,无传染性,药物、手术治疗,30%-50%,1-3年,所有人群,不同医院收费标准不一致，市三甲医院约（4000——8000元）,健客大药房康德乐大药房阿康大药房
巩膜炎,是,无传染性,药物治疗,90%,1-2周,无特殊发病群体,不同医院收费标准不一致，市三甲医院约（100-500元）,健客大药房康德乐大药房阿康大药房
单纯疱疹病毒性角膜炎,是,有传染性,药物治疗支持性治疗,治愈率91.2%,治疗周期21天,儿童,市三甲医院约（5000——10000元）,健客大药房康德乐大药房阿康大药房
睡眠呼吸暂停综合征,是,无传染性,手术治疗,75%,4-6月,肥胖人群，老年人,市三甲医院约（3000——8000元）,健客大药房康德乐大药房阿康大药房
葡萄膜炎,是,无传染性,药物治疗,65%,10天,多发于青壮年,市三甲医院约（3000-5000元）,健客大药房康德乐大药房阿康大药房
高眼压症,否,无传染性,药物治疗,70%,2-3周,所有人群,市三甲医院约（2000——4000元）,健客大药房康德乐大药房阿康大药房
噪声性耳聋,是,无传染性,西医药物治疗,50-60%,1-3个月,长期接触噪声者、头痛、头昏...,不同医院收费标准不一致，市三甲医院约（5000-7000元）,健客大药房康德乐大药房阿康大药房
急性会厌炎,是,无传染性,药物治疗、手术治疗,85%,2-4周,国内多见于成人。成人平均发...,不同医院收费标准不一致，市三甲医院约（500-1000元）,健客大药房康德乐大药房阿康大药房
开角型青光眼,是,无传染性,药物治疗、手术治疗,60--80%,7--30天,可以发生在年轻人，但在老年...,不同医院收费标准不一致，市三甲医院约（1000——5000元）,健客大药房康德乐大药房阿康大药房
唇病,是,无传染性,药物治疗,97%,Null,干燥脱屑型唇炎好发于青春期...,根据不同的医院，收费标准不一致，市三甲医院约（300-2500元）,健客大药房康德乐大药房阿康大药房
季节性过敏性鼻炎,否,无传染性,Null,Null,Null,过敏体质多见,Null,健客大药房康德乐大药房阿康大药房
眼球震颤,是,无传染性,药物、手术治疗,55%-65%,12周,先天性多见于儿童。成人亦可...,不同医院收费标准不一致，市三甲医院约（6000——10000元）,健客大药房康德乐大药房阿康大药房
视网膜母细胞瘤,是,无传染性,手术治疗,80%,60天,常见于3岁以下儿童，具有家...,不同医院收费标准不一致，市三甲医院约（5000-10000元）,健客大药房康德乐大药房阿康大药房
梅尼埃病,是,无传染性,西医药物治疗,70%，多以对症治疗为主,3-6个月,30～50岁的中、青年人,不同医院收费标准不一致，市三甲医院约（6000-10000元）,健客大药房康德乐大药房阿康大药房
视神经萎缩,是,无传染性,药物、激光、手术治疗、中医...,40%,2-4个月,所有人群,不同医院收费标准不一致，市三甲医院约（10000——30000元）,健客大药房康德乐大药房阿康大药房
急性化脓性中耳炎,是,无传染性,药物治疗,95%,7-21天,儿童,不同医院收费标准不一致，市三甲医院约（1000-3000元）,健客大药房康德乐大药房阿康大药房
先天性喉喘鸣,是,无传染性,药物、手术治疗,80%,2-4月,常发生于出生后不久或出生几...,不同医院收费标准不一致，市三甲医院约（5000——8000元）,健客大药房康德乐大药房阿康大药房
肥厚性咽炎,否,无传染性,Null,Null,Null,多见于成年人,Null,健客大药房康德乐大药房阿康大药房
老年性耳聋,否,无传染性,药物治疗、助听器、耳蜗植入...,20-30%(多位神经性耳聋，根治机会较小),1-3年,老年人群,不同医院收费标准不一致，市三甲医院约（2000——5000元）,健客大药房康德乐大药房阿康大药房
耳膜穿孔,是,无传染性,手术治疗、药物治疗,80%,1-2个月,所有人群,不同医院收费标准不一致，市三甲医院约（3000——5000元）,健客大药房康德乐大药房阿康大药房
萎缩性鼻炎,是,无传染性,药物治疗、手术治疗,60%,1个月,青壮年女性,不同医院收费标准不一致，市三甲医院约（1000-3000元）,健客大药房康德乐大药房阿康大药房
